"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000223972.5",0,NA,NA,NA,NA,NA
"ENSG00000227232.5",0,NA,NA,NA,NA,NA
"ENSG00000278267.1",0,NA,NA,NA,NA,NA
"ENSG00000243485.5",0,NA,NA,NA,NA,NA
"ENSG00000284332.1",0,NA,NA,NA,NA,NA
"ENSG00000237613.2",0,NA,NA,NA,NA,NA
"ENSG00000268020.3",0,NA,NA,NA,NA,NA
"ENSG00000240361.2",0,NA,NA,NA,NA,NA
"ENSG00000186092.7",0,NA,NA,NA,NA,NA
"ENSG00000238009.6",0,NA,NA,NA,NA,NA
"ENSG00000239945.1",0,NA,NA,NA,NA,NA
"ENSG00000233750.3",0,NA,NA,NA,NA,NA
"ENSG00000268903.1",0,NA,NA,NA,NA,NA
"ENSG00000269981.1",0,NA,NA,NA,NA,NA
"ENSG00000239906.1",0,NA,NA,NA,NA,NA
"ENSG00000241860.7",0,NA,NA,NA,NA,NA
"ENSG00000222623.1",0,NA,NA,NA,NA,NA
"ENSG00000241599.1",0,NA,NA,NA,NA,NA
"ENSG00000279928.2",0,NA,NA,NA,NA,NA
"ENSG00000279457.4",0,NA,NA,NA,NA,NA
"ENSG00000273874.1",0,NA,NA,NA,NA,NA
"ENSG00000228463.10",0,NA,NA,NA,NA,NA
"ENSG00000286448.1",0,NA,NA,NA,NA,NA
"ENSG00000236679.2",0,NA,NA,NA,NA,NA
"ENSG00000236601.2",0,NA,NA,NA,NA,NA
"ENSG00000237094.12",0,NA,NA,NA,NA,NA
"ENSG00000269732.1",0,NA,NA,NA,NA,NA
"ENSG00000284733.2",0,NA,NA,NA,NA,NA
"ENSG00000233653.3",0,NA,NA,NA,NA,NA
"ENSG00000250575.1",0,NA,NA,NA,NA,NA
"ENSG00000278757.1",0,NA,NA,NA,NA,NA
"ENSG00000230021.10",0,NA,NA,NA,NA,NA
"ENSG00000235146.2",0,NA,NA,NA,NA,NA
"ENSG00000225972.1",0,NA,NA,NA,NA,NA
"ENSG00000225630.1",0.540983086159044,-1.21318287265942,2.9888501425495,-0.405902877293328,0.68481396384377,NA
"ENSG00000237973.1",0.931525146021108,0.18266725886526,2.16539415119656,0.0843575100469913,0.932772188892119,NA
"ENSG00000278791.1",0,NA,NA,NA,NA,NA
"ENSG00000229344.1",0.364006072235195,-0.484876333803304,3.76150419264286,-0.128904903190504,0.897432896857188,NA
"ENSG00000240409.1",0,NA,NA,NA,NA,NA
"ENSG00000248527.1",5.97790357966862,-0.498229521631313,0.933946188614061,-0.533467053782473,0.593710311544039,0.999779335199278
"ENSG00000198744.5",0,NA,NA,NA,NA,NA
"ENSG00000268663.1",0,NA,NA,NA,NA,NA
"ENSG00000284662.1",0,NA,NA,NA,NA,NA
"ENSG00000229376.3",0,NA,NA,NA,NA,NA
"ENSG00000228327.3",0.169617103828692,1.11491869395631,4.0804728567969,0.273232719119593,0.784674330312374,NA
"ENSG00000223181.1",0,NA,NA,NA,NA,NA
"ENSG00000229905.1",0,NA,NA,NA,NA,NA
"ENSG00000237491.10",0,NA,NA,NA,NA,NA
"ENSG00000285268.1",0,NA,NA,NA,NA,NA
"ENSG00000230092.7",0,NA,NA,NA,NA,NA
"ENSG00000177757.2",0,NA,NA,NA,NA,NA
"ENSG00000228794.10",0,NA,NA,NA,NA,NA
"ENSG00000225880.5",0,NA,NA,NA,NA,NA
"ENSG00000288531.1",0.246672153614507,-1.57100476747036,4.04744962728731,-0.388146836190099,0.697907373382681,NA
"ENSG00000230368.2",0,NA,NA,NA,NA,NA
"ENSG00000234711.1",0,NA,NA,NA,NA,NA
"ENSG00000283040.1",0,NA,NA,NA,NA,NA
"ENSG00000272438.1",0,NA,NA,NA,NA,NA
"ENSG00000230699.2",0,NA,NA,NA,NA,NA
"ENSG00000241180.1",0,NA,NA,NA,NA,NA
"ENSG00000223764.2",0,NA,NA,NA,NA,NA
"ENSG00000187634.13",0.574598308495582,1.61839486799122,2.92873336817845,0.552592081469606,0.580542765450434,NA
