"","SRR22269872","SRR22269873","SRR22269874","SRR22269875","SRR22269876","SRR22269877","SRR22269878","SRR22269879","SRR22269880","SRR22269881","SRR22269882","SRR22269883"
"ENSG00000223972.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227232.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278267.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243485.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268903.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269981.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239906.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241860.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279457.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463.10",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286448.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.12",-2.30245058817241,-2.30145915578973,-2.30325623234994,-2.30208297275178,-2.30164617887882,-2.30179732112087,-2.30223862563035,-2.30210024651893,-2.30182228761006,-2.29980266386707,-2.30087350932804,-2.29930110484473
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230021.10",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",-2.30245058817241,-2.30145915578973,-2.30325623234994,-2.30208297275178,-2.30164617887882,-2.30179732112087,-2.30223862563035,-2.30210024651893,-2.30182228761006,-2.29980266386707,-2.30087350932804,-2.29930110484473
"ENSG00000225630.1",0.363839362613059,-0.339667379021723,-0.0982326295114687,-0.394951152660974,1.05994453133177,1.02639597833411,-0.409156864176478,0.0632693211317111,-0.371516222306793,0.0500131313154605,0.22824395804792,0.423874938313005
"ENSG00000237973.1",-0.139467203690323,-0.0170124898966841,-0.240176416112236,-0.540094374365013,-0.0398916331018855,0.588532524075302,-0.551779875098904,-0.0959060508194598,0.296275015655771,-0.514216085064173,0.448476696681569,-0.31947569263904
"ENSG00000278791.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229344.1",-1.67995962111811,-1.65913397521009,-1.45214581172481,-1.67223763350294,-1.66306251002305,-1.66623734561415,-1.54293513983515,-1.67260047958734,-1.66676178204831,-1.63164965907154,-1.64683211171308,-1.6138027901322
"ENSG00000240409.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248527.1",1.86699877303963,2.66216574676893,2.91485758625681,1.17427585103752,2.27847235414805,1.81499387990882,2.56542937108158,2.15207623775083,1.80874871160945,2.31989017285607,1.76072365477075,1.23732357534379
"ENSG00000198744.5",-2.2559026228307,-2.24987896244784,-2.26079748706916,-2.25366909638547,-2.25101526139482,-2.21358808886525,-2.25461479888065,-2.25377404686784,-2.25208524781649,-2.2698973463492,-2.24632074158354,-2.23676726042101
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228327.3",-2.01853845071846,-2.00199445932106,-2.03198220197688,-2.01240406731251,-1.89979942151232,-2.00763741029488,-2.01500144049596,-2.01269231395444,-1.90273814066815,-2.04958366663035,-1.99222180089955,-1.96598315195154
"ENSG00000223181.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491.10",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285268.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230092.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228794.10",-1.94816219912492,-1.93607582669169,-1.95798366123198,-1.94368066617972,-1.93835579126402,-1.86325880412279,-1.94557820220288,-1.94389124754327,-1.94050270087857,-1.87306980431761,-1.92893631685346,-1.90976741887033
"ENSG00000225880.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000288531.1",-1.64551073081976,-1.76028818746811,-1.6628928044128,-1.77374727107536,-1.62815530030814,-1.76758423060544,-1.77710553998079,-1.77411995904367,-1.76812289192096,-1.81268107766153,-1.74765264664196,-1.71372743349055
"ENSG00000230368.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234711.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230699.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241180.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223764.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187634.13",-1.34106938894488,-1.29650419062345,-1.12162521923589,-1.32454495983349,-1.02121741018369,-1.31170482892323,-0.82647079465172,-1.32532142111507,-1.02913355320172,-1.24134936512659,-1.27017919744491,-1.19949911994932
"ENSG00000188976.11",1.21128156122141,0.68341751311249,0.835535037808544,-0.22647961209573,-0.184479392061274,0.26107090419866,1.2619064029934,-0.228166782084929,0.619179971499879,0.17811792805911,-0.113643159808654,0.0224996040303224
